timestep,plant_id,discharge,bypass,spill,controlled_inflow,controlled_outflow,volume_res
35,49921,5.820766091345382e-15,0.0,0.0,0.0,5.820766091345382e-15,0.0
35,49922,19.78635243653911,0.0,0.0,0.0,19.78635243653911,345.8646912160406
35,49923,0.0,0.0,0.0,2.9100920073668607e-15,0.0,0.0
35,49924,0.0,0.0,0.0,0.0,0.0,18674.431310996228
35,49925,0.0,0.0,0.0,0.0,0.0,290961.3569771242
35,49927,0.0,0.0,0.0,0.0,0.0,93500.0
35,49928,1.4551915082847809e-11,0.0,0.0,1.4549004990840303e-11,1.4551915082847809e-11,0.0
35,49929,-1.4549004990840303e-11,0.0,0.0,0.0,-1.4549004990840303e-11,26000.000000000025
35,49930,0.0,1.4549004990840303e-11,0.0,0.0,1.4549004990840303e-11,24999.99999999999
35,49931,-1.4549004990840303e-11,0.0,0.0,-1.4549004990840303e-11,-1.4549004990840303e-11,0.0
36,49900,48.0125961873598,0.0,0.0,48.02501277345963,48.0125961873598,0.0
36,49901,0.0,0.0,0.0,0.0,0.0,0.0
36,49902,0.0,0.0,48.025012773459494,0.0,48.025012773459494,297.08266337826234
36,49903,0.0,0.0,0.0,0.0,0.0,0.0
36,49904,0.0,0.0,0.0,0.0,0.0,0.0
36,49905,0.0,0.0,0.0,0.0,0.0,495.3125
36,49906,0.0,0.0,0.0,73.82326017500256,0.0,184412.95389627345
36,49907,48.02501277345963,0.0,0.0,48.025012773459494,48.02501277345963,0.0
36,49908,0.0,0.0,0.0,0.0,0.0,0.0
36,49911,9.780000032600025,0.0,0.0,0.0,9.780000032600025,18458.74233800431
36,49912,0.0,0.0,0.0,0.0,0.0,32500.0
36,49913,0.0,0.0,0.0,0.0,0.0,0.0
36,49914,0.0,0.0,0.0,0.0,0.0,0.0
36,49915,0.0,0.0,0.0,0.0,0.0,3000.0
36,49920,64.04326014239578,0.0,0.0,51.06510599999989,64.04326014239578,1884.415786385788
36,49921,0.0,0.0,0.0,0.0,0.0,0.0
36,49922,51.06510599999989,0.0,0.0,4.100273715129856,51.06510599999989,334.12471239117707
36,49923,0.0,0.0,0.0,1.4227548187767872e-28,0.0,0.0
36,49924,4.100273715129856,0.0,0.0,23.347168733424994,4.100273715129856,18679.24191482109
36,49925,23.347168733424994,0.0,0.0,0.0,23.347168733424994,290955.52135212417
36,49927,0.0,0.0,0.0,0.0,0.0,93500.0
36,49928,1.4551915082847809e-11,0.0,0.0,1.4549004990840303e-11,1.4551915082847809e-11,0.0
