timestep,area,load,load_shedding,power_dumping
57,2,297.1096349302253,0.0,0.0
57,3,229.27254399597453,0.0,0.0
58,1,335.98775693252463,0.0,0.0
58,2,327.7887729642245,0.0,0.0
58,3,228.73511601735078,0.0,0.0
59,1,331.696806931824,0.0,0.0
59,2,347.96831647137526,0.0,0.0
59,3,233.73538151709982,0.0,0.0
60,1,307.45578493342697,0.0,0.0
60,2,359.5883255193765,0.0,0.0
60,3,244.1979224928732,0.0,0.0
61,1,260.2008105655254,0.0,0.0
61,2,381.47576745979893,0.0,0.0
61,3,250.39295401857527,0.0,0.0
62,1,237.58159403217448,0.0,0.0
62,2,392.21493492265085,0.0,0.0
62,3,261.33337354192383,0.0,0.0
63,1,223.95699852767518,0.0,0.0
63,2,380.11131591877484,0.0,0.0
63,3,284.46148504649847,0.0,0.0
64,1,218.20227151222502,0.0,0.0
64,2,344.07249941069966,0.0,0.0
64,3,320.8549015712257,0.0,0.0
65,1,215.51979449564982,0.0,0.0
65,2,276.2775755961508,0.0,0.0
65,3,382.9074669375495,0.0,0.0
66,1,210.14983101190012,0.0,0.0
66,2,243.76876605540062,0.0,0.0
66,3,421.98659945340074,0.0,0.0
67,1,208.71501351069955,0.0,0.0
67,2,226.69948205089992,0.0,0.0
67,3,446.78097396280066,0.0,0.0
68,1,210.89990848104978,0.0,0.0
68,2,224.01518504444942,0.0,0.0
68,3,459.80373355332597,0.0,0.0
69,1,204.3924445314252,0.0,0.0
69,2,236.0602044629495,0.0,0.0
69,3,497.8211329098011,0.0,0.0
70,1,207.15302955122533,0.0,0.0
70,2,233.61729998782454,0.0,0.0
70,3,509.3294013481495,0.0,0.0
71,1,224.47376655762613,0.0,0.0
71,2,228.2396589875,0.0,0.0
71,3,476.3622148394501,0.0,0.0
72,1,257.90006110612535,0.0,0.0
72,2,219.8392154589498,0.0,0.0
72,3,396.3018307946254,0.0,0.0
73,1,330.56514790037556,0.0,0.0
73,2,195.28175705177503,0.0,0.0
