id,area,timestep,b,load,shedding,dumping
314,1,79,1,291.54,0.0,0.0
315,1,79,2,291.54,0.0,0.0
316,1,79,3,291.54,0.0,0.0
317,1,80,0,292.17,0.0,0.0
318,1,80,1,292.17,0.0,0.0
319,1,80,2,292.17,0.0,0.0
320,1,80,3,292.17,0.0,0.0
321,1,81,0,309.06,0.0,0.0
322,1,81,1,309.06,0.0,0.0
323,1,81,2,309.06,0.0,0.0
324,1,81,3,309.06,0.0,0.0
325,1,82,0,326.02,0.0,0.0
326,1,82,1,326.02,0.0,0.0
327,1,82,2,326.02,0.0,0.0
328,1,82,3,326.02,0.0,0.0
329,1,83,0,325.1,0.0,0.0
330,1,83,1,325.1,0.0,0.0
331,1,83,2,325.1,0.0,0.0
332,1,83,3,325.1,0.0,0.0
333,1,84,0,309.17,0.0,0.0
334,1,84,1,309.17,0.0,0.0
335,1,84,2,309.17,0.0,0.0
336,1,84,3,309.17,0.0,0.0
337,1,85,0,261.09,0.0,0.0
338,1,85,1,261.09,0.0,0.0
339,1,85,2,261.09,0.0,0.0
340,1,85,3,261.09,0.0,0.0
341,1,86,0,216.41,0.0,0.0
342,1,86,1,216.41,0.0,0.0
343,1,86,2,216.41,0.0,0.0
344,1,86,3,216.41,0.0,0.0
345,1,87,0,220.56,0.0,0.0
346,1,87,1,220.56,0.0,0.0
347,1,87,2,220.56,0.0,0.0
348,1,87,3,220.56,0.0,0.0
349,1,88,0,267.94,0.0,0.0
350,1,88,1,267.94,0.0,0.0
351,1,88,2,267.94,0.0,0.0
352,1,88,3,267.94,0.0,0.0
353,1,89,0,399.16,0.0,0.0
354,1,89,1,399.16,0.0,0.0
355,1,89,2,399.16,0.0,0.0
356,1,89,3,399.16,0.0,0.0
357,1,90,0,541.09,0.0,0.0
358,1,90,1,541.09,0.0,0.0
359,1,90,2,541.09,0.0,0.0
360,1,90,3,541.09,0.0,0.0
361,1,91,0,589.21,0.0,0.0
362,1,91,1,589.21,0.0,0.0
363,1,91,2,589.21,0.0,0.0
364,1,91,3,589.21,0.0,0.0
365,1,92,0,552.27,0.0,0.0
366,1,92,1,552.27,0.0,0.0
367,1,92,2,552.27,0.0,0.0
368,1,92,3,552.27,0.0,0.0
369,1,93,0,446.19,0.0,0.0
370,1,93,1,446.19,0.0,0.0
371,1,93,2,446.19,0.0,0.0
372,1,93,3,446.19,0.0,0.0
373,1,94,0,342.0,0.0,0.0
374,1,94,1,342.0,0.0,0.0
375,1,94,2,342.0,0.0,0.0
376,1,94,3,342.0,0.0,0.0
377,1,95,0,268.14,0.0,0.0
378,1,95,1,268.14,0.0,0.0
379,1,95,2,268.14,0.0,0.0
380,1,95,3,268.14,0.0,0.0
381,1,96,0,196.93,0.0,0.0
382,1,96,1,196.93,0.0,0.0
383,1,96,2,196.93,0.0,0.0
384,1,96,3,196.93,0.0,0.0
385,2,1,0,109.99,0.0,35.79
386,2,1,1,109.99,0.0,64.9
387,2,1,2,109.99,0.0,220.88
