timestep,line_id,transmission,area_from,area_to
34,3,-5.684341886080802e-14,1,3
34,4,-5.684341886080802e-14,3,1
34,5,65.83500023794222,2,3
34,6,-5.684341886080802e-14,3,2
35,1,-5.684341886080802e-14,1,2
35,2,62.13053223464678,2,1
35,3,-5.684341886080802e-14,1,3
35,4,-5.684341886080802e-14,3,1
35,5,48.62769465425345,2,3
35,6,-5.684341886080802e-14,3,2
36,1,-5.684341886080802e-14,1,2
36,2,33.31843373250002,2,1
36,3,0.1050210010499471,1,3
36,4,-5.684341886080802e-14,3,1
36,5,24.232717626299795,2,3
36,6,-5.684341886080802e-14,3,2
37,1,32.45302297779989,1,2
37,2,-5.684341886080802e-14,2,1
37,3,1.3741709075499464,1,3
37,4,-5.684341886080802e-14,3,1
37,5,1.2372525123749227,2,3
37,6,18.545673351593887,3,2
38,1,59.018223425174995,1,2
38,2,-5.684341886080802e-14,2,1
38,3,-5.684341886080802e-14,1,3
38,4,-5.684341886080802e-14,3,1
38,5,-5.684341886080802e-14,2,3
38,6,42.680702260430934,3,2
39,1,63.48223542642514,1,2
39,2,-5.684341886080802e-14,2,1
39,3,-5.684341886080802e-14,1,3
39,4,-5.684341886080802e-14,3,1
39,5,-5.684341886080802e-14,2,3
39,6,67.05156854683256,3,2
40,1,47.51340089974988,1,2
40,2,-5.684341886080802e-14,2,1
40,3,-5.684341886080802e-14,1,3
40,4,-5.684341886080802e-14,3,1
40,5,-5.684341886080802e-14,2,3
40,6,92.08530209214402,3,2
41,1,8.87892501869996,1,2
41,2,-5.684341886080802e-14,2,1
41,3,-5.684341886080802e-14,1,3
41,4,13.288462551767635,3,1
41,5,-5.684341886080802e-14,2,3
41,6,128.54042045640028,3,2
42,1,-5.684341886080802e-14,1,2
42,2,-5.684341886080802e-14,2,1
42,3,-5.684341886080802e-14,1,3
42,4,22.608987304570704,3,1
42,5,-5.684341886080802e-14,2,3
42,6,144.88664746436845,3,2
43,1,-5.684341886080802e-14,1,2
43,2,-5.684341886080802e-14,2,1
43,3,-5.684341886080802e-14,1,3
43,4,21.095427710707032,3,1
43,5,-5.684341886080802e-14,2,3
43,6,149.13646412696926,3,2
44,1,10.263584005774964,1,2
44,2,-5.684341886080802e-14,2,1
44,3,-5.684341886080802e-14,1,3
44,4,10.699041352499968,3,1
44,5,-5.684341886080802e-14,2,3
44,6,138.3647987826851,3,2
45,1,43.34151243464991,1,2
45,2,-5.684341886080802e-14,2,1
45,3,-5.684341886080802e-14,1,3
45,4,-5.684341886080802e-14,3,1
45,5,-5.684341886080802e-14,2,3
45,6,91.1832956624203,3,2
46,1,62.5207179659001,1,2
46,2,-5.684341886080802e-14,2,1
46,3,-5.684341886080802e-14,1,3
46,4,-5.684341886080802e-14,3,1
46,5,-5.684341886080802e-14,2,3
46,6,64.26710429985707,3,2
47,1,72.12278397007469,1,2
47,2,-5.684341886080802e-14,2,1
47,3,-5.684341886080802e-14,1,3
47,4,-5.684341886080802e-14,3,1
47,5,-5.684341886080802e-14,2,3
47,6,59.400531230758226,3,2
48,1,73.20746998462486,1,2
48,2,-5.684341886080802e-14,2,1
48,3,-5.684341886080802e-14,1,3
48,4,-5.684341886080802e-14,3,1
48,5,-5.684341886080802e-14,2,3
48,6,77.09968615630913,3,2
49,1,70.13994400669989,1,2
49,2,-5.684341886080802e-14,2,1
49,3,-5.684341886080802e-14,1,3
49,4,-5.684341886080802e-14,3,1
49,5,-5.684341886080802e-14,2,3
49,6,128.32127611658288,3,2
50,1,70.7699299878002,1,2
50,2,-5.684341886080802e-14,2,1
50,3,-5.684341886080802e-14,1,3
50,4,-5.684341886080802e-14,3,1
50,5,-5.684341886080802e-14,2,3
50,6,147.72807903985196,3,2
51,1,67.56223898677503,1,2
51,2,-5.684341886080802e-14,2,1
51,3,-5.684341886080802e-14,1,3
51,4,-5.684341886080802e-14,3,1
51,5,-5.684341886080802e-14,2,3
51,6,153.21016044282078,3,2
52,1,60.25460699445008,1,2
52,2,-5.684341886080802e-14,2,1
52,3,-5.684341886080802e-14,1,3
52,4,-5.684341886080802e-14,3,1
52,5,-5.684341886080802e-14,2,3
52,6,144.55941159006994,3,2
53,1,51.644590500299834,1,2
53,2,-5.684341886080802e-14,2,1
53,3,-5.684341886080802e-14,1,3
53,4,-5.684341886080802e-14,3,1
53,5,-5.684341886080802e-14,2,3
53,6,99.57856112502807,3,2
54,1,44.01952748834986,1,2
54,2,-5.684341886080802e-14,2,1
54,3,-5.684341886080802e-14,1,3
54,4,-5.684341886080802e-14,3,1
54,5,-5.684341886080802e-14,2,3
54,6,92.17993523551374,3,2
55,1,33.21434998414997,1,2
55,2,-5.684341886080802e-14,2,1
55,3,-5.684341886080802e-14,1,3
55,4,-5.684341886080802e-14,3,1
55,5,-5.684341886080802e-14,2,3
55,6,115.61523900342593,3,2
56,1,18.161300949774894,1,2
56,2,-5.684341886080802e-14,2,1
56,3,-5.684341886080802e-14,1,3
56,4,-5.684341886080802e-14,3,1
56,5,-5.684341886080802e-14,2,3
56,6,171.34928705272503,3,2
57,1,33.29964743368296,1,2
57,2,-5.684341886080802e-14,2,1
57,3,-5.684341886080802e-14,1,3
57,4,50.33165492526064,3,1
57,5,-5.684341886080802e-14,2,3
57,6,240.7387100221256,3,2
58,1,63.6151994359339,1,2
58,2,-5.684341886080802e-14,2,1
58,3,-5.684341886080802e-14,1,3
58,4,96.56864279642382,3,1
58,5,-5.684341886080802e-14,2,3
58,6,250.0,3,2
59,1,86.5235484351767,1,2
59,2,-5.684341886080802e-14,2,1
59,3,-5.684341886080802e-14,1,3
59,4,115.37409633030487,3,1
59,5,-5.684341886080802e-14,2,3
59,6,250.0,3,2
60,1,95.18229241752483,1,2
60,2,-5.684341886080802e-14,2,1
60,3,-5.684341886080802e-14,1,3
60,4,99.63442156661635,3,1
60,5,-5.684341886080802e-14,2,3
60,6,250.0,3,2
61,1,105.14937068618683,1,2
61,2,-5.684341886080802e-14,2,1
61,3,-5.684341886080802e-14,1,3
61,4,61.969880052234245,3,1
61,5,-5.684341886080802e-14,2,3
61,6,250.0,3,2
62,1,111.51744386962145,1,2
62,2,-5.684341886080802e-14,2,1
62,3,-5.684341886080802e-14,1,3
62,4,45.554583739187876,3,1
62,5,-5.684341886080802e-14,2,3
62,6,250.0,3,2
63,1,101.90319571659978,1,2
63,2,-5.684341886080802e-14,2,1
63,3,-5.684341886080802e-14,1,3
63,4,22.081004287146374,3,1
63,5,-5.684341886080802e-14,2,3
63,6,245.20160420839946,3,2
64,1,93.89477386134993,1,2
64,2,-5.684341886080802e-14,2,1
64,3,-5.684341886080802e-14,1,3
64,4,8.178833710681726,3,1
64,5,-5.684341886080802e-14,2,3
64,6,216.29961695789265,3,2
65,1,88.48020550434967,1,2
65,2,-5.684341886080802e-14,2,1
65,3,-5.684341886080802e-14,1,3
65,4,-5.684341886080802e-14,3,1
65,5,-5.684341886080802e-14,2,3
65,6,153.1890168059029,3,2
66,1,93.85016898809997,1,2
66,2,-5.684341886080802e-14,2,1
66,3,-5.684341886080802e-14,1,3
66,4,-5.684341886080802e-14,3,1
66,5,-5.684341886080802e-14,2,3
66,6,112.08022500480409,3,2
67,1,95.28498648930031,1,2
67,2,-5.684341886080802e-14,2,1
67,3,-5.684341886080802e-14,1,3
67,4,-5.684341886080802e-14,3,1
67,5,-5.684341886080802e-14,2,3
67,6,89.10569790764409,3,2
68,1,93.10009151894998,1,2
68,2,-5.684341886080802e-14,2,1
