id,area,timestep,timestep_fractional,load,load_shedding,power_dumping
169,1,17,16.8,300.9764,0.0,0.0
170,1,17,16.9,300.90450000000004,0.0,0.0
171,1,17,17.0,299.92,0.0,0.0
172,1,18,17.1,298.78360000000004,0.0,0.0
173,1,18,17.2,298.3492000000001,0.0,0.0
174,1,18,17.3,298.417,0.0,0.0
175,1,18,17.4,298.78720000000004,0.0,0.0
176,1,18,17.5,299.26,0.0,0.0
177,1,18,17.6,299.6356,0.0,0.0
178,1,18,17.7,299.7142,0.0,0.0
179,1,18,17.8,299.29600000000005,0.0,0.0
180,1,18,17.9,298.18120000000005,0.0,0.0
181,1,18,18.0,296.17,0.0,0.0
182,1,19,18.1,294.2888300000001,0.0,0.0
183,1,19,18.2,293.4962400000001,0.0,0.0
184,1,19,18.3,293.48160999999993,0.0,0.0
185,1,19,18.4,293.93432,0.0,0.0
186,1,19,18.5,294.54375000000005,0.0,0.0
187,1,19,18.6,294.99928,0.0,0.0
188,1,19,18.7,294.99029,0.0,0.0
189,1,19,18.8,294.20616,0.0,0.0
190,1,19,18.9,292.33627,0.0,0.0
191,1,19,19.0,289.07,0.0,0.0
192,1,20,19.1,286.01538000000005,0.0,0.0
193,1,20,19.2,284.65744000000007,0.0,0.0
194,1,20,19.3,284.51005999999995,0.0,0.0
195,1,20,19.4,285.08712,0.0,0.0
196,1,20,19.5,285.9025,0.0,0.0
197,1,20,19.6,286.47008000000005,0.0,0.0
198,1,20,19.7,286.30374,0.0,0.0
199,1,20,19.8,284.91736000000003,0.0,0.0
200,1,20,19.9,281.82482000000005,0.0,0.0
201,1,20,20.0,276.54,0.0,0.0
202,1,21,20.1,271.23916,0.0,0.0
203,1,21,20.2,268.1064800000001,0.0,0.0
204,1,21,20.3,266.6677199999999,0.0,0.0
205,1,21,20.4,266.44864,0.0,0.0
206,1,21,20.5,266.97499999999997,0.0,0.0
207,1,21,20.6,267.77256,0.0,0.0
208,1,21,20.7,268.36708,0.0,0.0
209,1,21,20.8,268.28432,0.0,0.0
210,1,21,20.9,267.05003999999997,0.0,0.0
211,1,21,21.0,264.19,0.0,0.0
212,1,22,21.1,261.07210000000003,0.0,0.0
213,1,22,21.2,259.20160000000004,0.0,0.0
214,1,22,21.3,258.31929999999994,0.0,0.0
215,1,22,21.4,258.16600000000005,0.0,0.0
216,1,22,21.5,258.4825,0.0,0.0
217,1,22,21.6,259.00960000000003,0.0,0.0
218,1,22,21.7,259.4881,0.0,0.0
219,1,22,21.8,259.65880000000004,0.0,0.0
220,1,22,21.9,259.26250000000005,0.0,0.0
221,1,22,22.0,258.04,0.0,0.0
222,1,23,22.1,256.5784100000001,0.0,0.0
223,1,23,22.2,255.59688000000008,0.0,0.0
224,1,23,22.3,255.02526999999998,0.0,0.0
225,1,23,22.4,254.79344000000003,0.0,0.0
226,1,23,22.5,254.83125,0.0,0.0
227,1,23,22.6,255.06856000000002,0.0,0.0
228,1,23,22.7,255.43523,0.0,0.0
229,1,23,22.8,255.86112000000003,0.0,0.0
230,1,23,22.9,256.27609,0.0,0.0
231,1,23,23.0,256.61,0.0,0.0
232,1,24,23.1,256.7555300000001,0.0,0.0
233,1,24,23.2,256.7026400000001,0.0,0.0
234,1,24,23.3,256.53610999999995,0.0,0.0
235,1,24,23.4,256.34072000000003,0.0,0.0
236,1,24,23.5,256.20125,0.0,0.0
237,1,24,23.6,256.20248000000004,0.0,0.0
238,1,24,23.7,256.42918999999995,0.0,0.0
239,1,24,23.8,256.96616,0.0,0.0
240,1,24,23.9,257.89817000000005,0.0,0.0
241,1,24,24.0,259.31,0.0,0.0
242,1,25,24.1,260.68775000000005,0.0,0.0
243,1,25,24.2,261.5336000000001,0.0,0.0
244,1,25,24.3,261.95644999999996,0.0,0.0
245,1,25,24.4,262.0652,0.0,0.0
246,1,25,24.5,261.96875,0.0,0.0
247,1,25,24.6,261.776,0.0,0.0
248,1,25,24.7,261.59585,0.0,0.0
249,1,25,24.8,261.53720000000004,0.0,0.0
250,1,25,24.9,261.7089500000001,0.0,0.0
251,1,25,25.0,262.22,0.0,0.0
252,1,26,25.1,262.7695500000001,0.0,0.0
253,1,26,25.2,263.0296000000001,0.0,0.0
254,1,26,25.3,263.07725,0.0,0.0
255,1,26,25.4,262.98960000000005,0.0,0.0
256,1,26,25.5,262.84375,0.0,0.0
257,1,26,25.6,262.71680000000003,0.0,0.0
258,1,26,25.7,262.68585,0.0,0.0
259,1,26,25.8,262.82800000000003,0.0,0.0
260,1,26,25.9,263.22035000000005,0.0,0.0
261,1,26,26.0,263.94,0.0,0.0
262,1,27,26.1,264.64923,0.0,0.0
263,1,27,26.2,265.0178400000001,0.0,0.0
264,1,27,26.3,265.13420999999994,0.0,0.0
265,1,27,26.4,265.08672000000007,0.0,0.0
266,1,27,26.5,264.96375,0.0,0.0
267,1,27,26.6,264.85368000000005,0.0,0.0
268,1,27,26.7,264.84489,0.0,0.0
269,1,27,26.8,265.02576,0.0,0.0
270,1,27,26.9,265.48467000000005,0.0,0.0
271,1,27,27.0,266.31,0.0,0.0
272,1,28,27.1,267.21116000000006,0.0,0.0
273,1,28,27.2,267.8528800000001,0.0,0.0
274,1,28,27.3,268.25651999999997,0.0,0.0
275,1,28,27.4,268.44344,0.0,0.0
276,1,28,27.5,268.435,0.0,0.0
277,1,28,27.6,268.25256,0.0,0.0
278,1,28,27.7,267.91748,0.0,0.0
279,1,28,27.8,267.45112000000006,0.0,0.0
280,1,28,27.9,266.87484,0.0,0.0
281,1,28,28.0,266.21,0.0,0.0
282,1,29,28.1,265.48908,0.0,0.0
283,1,29,28.2,264.7710400000001,0.0,0.0
284,1,29,28.3,264.1169599999999,0.0,0.0
285,1,29,28.4,263.58792000000005,0.0,0.0
286,1,29,28.5,263.245,0.0,0.0
287,1,29,28.6,263.14928000000003,0.0,0.0
288,1,29,28.7,263.36184000000003,0.0,0.0
289,1,29,28.8,263.94376,0.0,0.0
290,1,29,28.9,264.95612,0.0,0.0
291,1,29,29.0,266.46,0.0,0.0
292,1,30,29.1,267.62401000000006,0.0,0.0
293,1,30,29.2,267.80408000000006,0.0,0.0
294,1,30,29.3,267.33326999999997,0.0,0.0
295,1,30,29.4,266.54464,0.0,0.0
296,1,30,29.5,265.77125,0.0,0.0
297,1,30,29.6,265.34616000000005,0.0,0.0
298,1,30,29.7,265.60243,0.0,0.0
299,1,30,29.8,266.87312000000003,0.0,0.0
300,1,30,29.9,269.49129000000005,0.0,0.0
301,1,30,30.0,273.79,0.0,0.0
302,1,31,30.1,277.6477300000001,0.0,0.0
303,1,31,30.2,279.1710400000001,0.0,0.0
304,1,31,30.3,279.04411,0.0,0.0
305,1,31,30.4,277.95112,0.0,0.0
306,1,31,30.5,276.57625,0.0,0.0
307,1,31,30.6,275.60368000000005,0.0,0.0
308,1,31,30.7,275.71759,0.0,0.0
309,1,31,30.8,277.60216,0.0,0.0
310,1,31,30.9,281.94157000000007,0.0,0.0
311,1,31,31.0,289.42,0.0,0.0
312,1,32,31.1,296.2207100000001,0.0,0.0
313,1,32,31.2,298.9012800000001,0.0,0.0
314,1,32,31.3,298.7163699999999,0.0,0.0
315,1,32,31.4,296.92064000000005,0.0,0.0
316,1,32,31.5,294.76875,0.0,0.0
317,1,32,31.6,293.51536000000004,0.0,0.0
318,1,32,31.7,294.41513,0.0,0.0
319,1,32,31.8,298.72272,0.0,0.0
320,1,32,31.9,307.69279,0.0,0.0
321,1,32,32.0,322.58,0.0,0.0
322,1,33,32.1,337.52791,0.0,0.0
323,1,33,32.2,346.6540800000001,0.0,0.0
324,1,33,32.3,351.17416999999995,0.0,0.0
325,1,33,32.4,352.30384000000004,0.0,0.0
326,1,33,32.5,351.25874999999996,0.0,0.0
327,1,33,32.6,349.25456,0.0,0.0
328,1,33,32.7,347.50693,0.0,0.0
329,1,33,32.8,347.23152000000005,0.0,0.0
330,1,33,32.9,349.64399000000003,0.0,0.0
331,1,33,33.0,355.96,0.0,0.0
332,1,34,33.1,363.37002,0.0,0.0
333,1,34,33.2,368.46296000000007,0.0,0.0
334,1,34,33.3,371.5611399999999,0.0,0.0
335,1,34,33.4,372.98688000000004,0.0,0.0
336,1,34,33.5,373.0625,0.0,0.0
337,1,34,33.6,372.11032000000006,0.0,0.0
338,1,34,33.7,370.45266,0.0,0.0
339,1,34,33.8,368.4118400000001,0.0,0.0
340,1,34,33.9,366.31018000000006,0.0,0.0
341,1,34,34.0,364.47,0.0,0.0
342,1,35,34.1,363.8330000000001,0.0,0.0
343,1,35,34.2,364.6948000000001,0.0,0.0
344,1,35,34.3,366.4175999999999,0.0,0.0
345,1,35,34.4,368.3636,0.0,0.0
346,1,35,34.5,369.895,0.0,0.0
347,1,35,34.6,370.3740000000001,0.0,0.0
348,1,35,34.7,369.1628,0.0,0.0
349,1,35,34.8,365.6236,0.0,0.0
350,1,35,34.9,359.1186,0.0,0.0
351,1,35,35.0,349.01,0.0,0.0
352,1,36,35.1,340.15501000000006,0.0,0.0
353,1,36,35.2,336.7156800000001,0.0,0.0
354,1,36,35.3,337.02047,0.0,0.0
355,1,36,35.4,339.39784000000003,0.0,0.0
356,1,36,35.5,342.17625,0.0,0.0
357,1,36,35.6,343.68416,0.0,0.0
358,1,36,35.7,342.25003,0.0,0.0
359,1,36,35.8,336.20232,0.0,0.0
360,1,36,35.9,323.86949000000004,0.0,0.0
361,1,36,36.0,303.58,0.0,0.0
362,1,37,36.1,283.23698,0.0,0.0
363,1,37,36.2,270.7790400000001,0.0,0.0
364,1,37,36.3,264.57885999999996,0.0,0.0
365,1,37,36.4,263.00912000000005,0.0,0.0
366,1,37,36.5,264.4425,0.0,0.0
367,1,37,36.6,267.25168,0.0,0.0
368,1,37,36.7,269.80934,0.0,0.0
369,1,37,36.8,270.48816,0.0,0.0
370,1,37,36.9,267.66082,0.0,0.0
371,1,37,37.0,259.7,0.0,0.0
372,1,38,37.1,250.51849,0.0,0.0
373,1,38,37.2,244.69752000000005,0.0,0.0
374,1,38,37.3,241.62142999999995,0.0,0.0
375,1,38,37.4,240.67456000000004,0.0,0.0
376,1,38,37.5,241.24125,0.0,0.0
377,1,38,37.6,242.70584000000002,0.0,0.0
378,1,38,37.7,244.45266999999998,0.0,0.0
379,1,38,37.8,245.86608,0.0,0.0
380,1,38,37.9,246.33041,0.0,0.0
381,1,38,38.0,245.23,0.0,0.0
382,1,39,38.1,243.07799000000003,0.0,0.0
383,1,39,38.2,240.94752000000008,0.0,0.0
384,1,39,38.3,239.05392999999995,0.0,0.0
