timestep,plant_id,production,area,fuel_type,status,startup
6,49901,0.0,3,Hydro,0,0
6,49902,0.0,3,Hydro,0,0
6,49903,0.0,3,Hydro,0,0
6,49904,0.0,3,Hydro,0,0
6,49905,0.0,3,Hydro,0,0
6,49906,0.0,3,Hydro,0,0
6,49907,22.499603774996125,3,Hydro,0,0
6,49908,0.0,3,Hydro,0,0
6,49911,19.258561115708513,3,Hydro,0,0
6,49912,0.0,3,Hydro,0,0
6,49913,0.0,3,Hydro,0,0
6,49914,0.0,3,Hydro,0,0
6,49915,0.0,3,Hydro,0,0
6,49920,66.14673628554226,3,Hydro,0,0
6,49921,1.4247810468173465e-15,3,Hydro,0,0
6,49922,12.377224058038642,3,Hydro,0,0
6,49923,-2.304562390549112e-11,3,Hydro,0,0
6,49924,15.415844530928076,3,Hydro,0,0
6,49925,0.0,3,Hydro,0,0
6,49927,0.0,3,Hydro,0,0
6,49928,0.0,3,Hydro,0,0
6,49929,0.0,3,Hydro,0,0
6,49930,0.0,3,Hydro,0,0
6,49931,0.0,3,Hydro,0,0
7,1,0.0,1,Thermal,0,0
7,2,0.0,1,Thermal,0,0
7,3,0.0,1,Thermal,0,0
7,4,0.0,1,Thermal,0,0
7,5,0.0,1,Thermal,0,0
7,6,0.0,1,Thermal,0,0
7,7,0.0,1,Thermal,0,0
7,8,0.0,1,Thermal,0,0
7,9,0.0,1,Thermal,0,0
7,10,0.0,1,Thermal,0,0
7,154,41.60001350134983,2,Wind,0,0
7,155,238.27494049729873,2,Wind,0,0
7,156,196.27971995859997,2,Wind,0,0
7,157,213.81748699942463,2,Wind,0,0
7,49900,0.0,3,Hydro,0,0
7,49901,0.0,3,Hydro,0,0
7,49902,0.0,3,Hydro,0,0
7,49903,0.0,3,Hydro,0,0
7,49904,0.0,3,Hydro,0,0
7,49905,0.0,3,Hydro,0,0
7,49906,0.0,3,Hydro,0,0
7,49907,27.172891901018343,3,Hydro,0,0
7,49908,0.0,3,Hydro,0,0
7,49911,14.99960785720463,3,Hydro,0,0
7,49912,0.0,3,Hydro,0,0
7,49913,0.0,3,Hydro,0,0
7,49914,0.0,3,Hydro,0,0
7,49915,0.0,3,Hydro,0,0
7,49920,66.69999999999649,3,Hydro,0,0
7,49921,0.0,3,Hydro,0,0
7,49922,12.499487875005112,3,Hydro,0,0
7,49923,0.0,3,Hydro,0,0
7,49924,11.835750839241017,3,Hydro,0,0
7,49925,0.0,3,Hydro,0,0
7,49927,0.0,3,Hydro,0,0
7,49928,0.0,3,Hydro,0,0
7,49929,0.0,3,Hydro,0,0
7,49930,0.0,3,Hydro,0,0
7,49931,0.0,3,Hydro,0,0
8,1,0.0,1,Thermal,0,0
8,2,0.0,1,Thermal,0,0
8,3,0.0,1,Thermal,0,0
8,4,0.0,1,Thermal,0,0
8,5,0.0,1,Thermal,0,0
8,6,0.0,1,Thermal,0,0
8,7,0.0,1,Thermal,0,0
8,8,0.0,1,Thermal,0,0
8,9,0.0,1,Thermal,0,0
8,10,0.0,1,Thermal,0,0
8,154,42.0750365015999,2,Wind,0,0
8,155,236.68239449672586,2,Wind,0,0
8,156,184.3416234623248,2,Wind,0,0
8,157,213.47747499902505,2,Wind,0,0
8,49900,0.0,3,Hydro,0,0
8,49901,0.0,3,Hydro,0,0
8,49902,0.0,3,Hydro,0,0
8,49903,0.0,3,Hydro,0,0
8,49904,0.0,3,Hydro,0,0
8,49905,0.0,3,Hydro,0,0
8,49906,0.0,3,Hydro,0,0
8,49907,17.126686117647004,3,Hydro,0,0
8,49908,0.0,3,Hydro,0,0
8,49911,4.99953595000464,3,Hydro,0,0
8,49912,0.0,3,Hydro,0,0
8,49913,0.0,3,Hydro,0,0
8,49914,0.0,3,Hydro,0,0
8,49915,0.0,3,Hydro,0,0
8,49920,16.67499983325001,3,Hydro,0,0
8,49921,0.0,3,Hydro,0,0
8,49922,9.290072280611898,3,Hydro,0,0
8,49923,0.0,3,Hydro,0,0
8,49924,2.0411199997869915,3,Hydro,0,0
8,49925,0.0,3,Hydro,0,0
8,49927,0.0,3,Hydro,0,0
8,49928,3.6146957065793735e-12,3,Hydro,0,0
8,49929,0.0,3,Hydro,0,0
8,49930,0.0,3,Hydro,0,0
8,49931,0.0,3,Hydro,0,0
9,1,0.0,1,Thermal,0,0
9,2,0.0,1,Thermal,0,0
9,3,0.0,1,Thermal,0,0
9,4,0.0,1,Thermal,0,0
9,5,0.0,1,Thermal,0,0
9,6,0.0,1,Thermal,0,0
9,7,0.0,1,Thermal,0,0
9,8,0.0,1,Thermal,0,0
9,9,0.0,1,Thermal,0,0
9,10,0.0,1,Thermal,0,0
9,154,43.11753649847488,2,Wind,0,0
9,155,233.92239400317465,2,Wind,0,0
9,156,159.59412903504943,2,Wind,0,0
9,157,212.77747500102484,2,Wind,0,0
9,49900,0.0,3,Hydro,0,0
9,49901,0.0,3,Hydro,0,0
9,49902,0.0,3,Hydro,0,0
9,49903,0.0,3,Hydro,0,0
9,49904,0.0,3,Hydro,0,0
9,49905,0.0,3,Hydro,0,0
9,49906,0.0,3,Hydro,0,0
9,49907,8.839256675314328,3,Hydro,0,0
9,49908,0.0,3,Hydro,0,0
9,49911,4.998536142795352,3,Hydro,0,0
9,49912,0.0,3,Hydro,0,0
9,49913,0.0,3,Hydro,0,0
9,49914,0.0,3,Hydro,0,0
9,49915,0.0,3,Hydro,0,0
9,49920,31.0180671943194,3,Hydro,0,0
9,49921,1.4247810468173465e-15,3,Hydro,0,0
9,49922,0.0,3,Hydro,0,0
9,49923,0.0,3,Hydro,0,0
9,49924,0.0,3,Hydro,0,0
9,49925,0.0,3,Hydro,0,0
9,49927,0.0,3,Hydro,0,0
9,49928,0.0,3,Hydro,0,0
9,49929,0.0,3,Hydro,0,0
9,49930,0.0,3,Hydro,0,0
9,49931,0.0,3,Hydro,0,0
10,1,0.0,1,Thermal,0,0
10,2,0.0,1,Thermal,0,0
10,3,0.0,1,Thermal,0,0
10,4,0.0,1,Thermal,0,0
10,5,0.0,1,Thermal,0,0
10,6,0.0,1,Thermal,0,0
10,7,0.0,1,Thermal,0,0
10,8,0.0,1,Thermal,0,0
10,9,0.0,1,Thermal,0,0
10,10,0.0,1,Thermal,0,0
10,154,43.600017499050196,2,Wind,0,0
10,155,232.32743550207513,2,Wind,0,0
10,156,148.25953151445069,2,Wind,0,0
10,157,212.43999000089966,2,Wind,0,0
10,49900,0.0,3,Hydro,0,0
10,49901,0.0,3,Hydro,0,0
10,49902,0.0,3,Hydro,0,0
10,49903,6.705522470176229e-12,3,Hydro,0,0
10,49904,0.0,3,Hydro,0,0
10,49905,0.0,3,Hydro,0,0
10,49906,0.0,3,Hydro,0,0
10,49907,0.0,3,Hydro,0,0
10,49908,0.0,3,Hydro,0,0
10,49911,0.0,3,Hydro,0,0
10,49912,0.0,3,Hydro,0,0
10,49913,0.0,3,Hydro,0,0
10,49914,0.0,3,Hydro,0,0
10,49915,0.0,3,Hydro,0,0
10,49920,0.3921498448322934,3,Hydro,0,0
10,49921,7.124617624562226e-12,3,Hydro,0,0
10,49922,0.0,3,Hydro,0,0
10,49923,2.3050233491230722e-11,3,Hydro,0,0
10,49924,0.0,3,Hydro,0,0
10,49925,0.0,3,Hydro,0,0
10,49927,0.0,3,Hydro,0,0
10,49928,0.0,3,Hydro,0,0
10,49929,0.0,3,Hydro,0,0
10,49930,0.0,3,Hydro,0,0
10,49931,0.0,3,Hydro,0,0
11,1,0.0,1,Thermal,0,0
11,2,0.0,1,Thermal,0,0
11,3,0.0,1,Thermal,0,0
11,4,0.0,1,Thermal,0,0
11,5,0.0,1,Thermal,0,0
11,6,0.0,1,Thermal,0,0
11,7,0.0,1,Thermal,0,0
11,8,0.0,1,Thermal,0,0
11,9,0.0,1,Thermal,0,0
11,10,0.0,1,Thermal,0,0
11,154,43.81750549917503,2,Wind,0,0
11,155,231.3149625019989,2,Wind,0,0
11,156,140.86970601209995,2,Wind,0,0
